田中町（天理街道の西側）,H,2
多門町,D,5
樽井町,G,7
中院町（奈良まち大通りの南側）,D,7
中院町（奈良まち大通りの北側）,G,7
千丘ヶ丘１～３丁目,C,4
築地之内町,D,7
角振新屋町,G,7
角振町,G,7
椿井町,G,7
鶴福院町,G,7
鶴舞西町,A,10
鶴舞東町,A,10
手貝町,D,1
帝塚山１～６丁目,F,6
帝塚山中町,F,6
帝塚山西１・２丁目,F,4
帝塚山南１～５丁目,F,4
出屋敷町（ＪＲ桜井線の東側）,H,16
出屋敷町（ＪＲ桜井線の西側）,D,16
寺町,G,7
東九条町,D,16
富雄泉ヶ丘,F,6
富雄川西１・２丁目,E,13
富雄元町１～４丁目,C,6
富雄北１～３丁目,A,13
登美ヶ丘１～６丁目,A,11
鳥見町１～４丁目,E,13
中筋町,G,5
中辻町,D,7
中登美ヶ丘１丁目Ａ棟,Z,11
########################中登美ヶ丘１丁目,,11
中登美ヶ丘２丁目,E,11
########################中登美ヶ丘３・４丁目,,11
中登美ヶ丘５・６丁目,E,18
中新屋町,D,7
########################中畑町,,2
中町（富雄川の東側および北側）,C,4
中町（富雄川の西側および南側）,F,4
中御門町,D,1
中山町,A,11
中山町西１～４丁目,A,10
内侍原町（やすらぎの道東側、二条線北側、やすらぎの道沿）,D,5
内侍原町（上記以外のやすらぎの道東側）,G,5
内侍原町（やすらぎの道西側）,B,5
鍋屋町（下記以外の地域）,D,1
鍋屋町（市道二条線に面した地域）,G,1
奈保町,D,1
奈良阪町（奈良加茂線の東側,D,1
奈良阪町（奈良加茂線の西側,B,.1
鳴川町,D,19
西包永町,D,5
西木辻町,D,19
西紀寺町,D,7
西笹鉾町,D,5
西城戸町,G,7
西新在家号所町,B,5
西新在家町,B,5
西千代ヶ丘１～３丁目,C,4
西寺林町,G,7
西登美ヶ丘１～８丁目,A,18
西ノ京町,C,9
西之阪町,G,12
西新屋町,D,7
西御門町,G,7
二条大路南１～５丁目,B,16
二条町１～３丁目,B,8
二名１・２丁目,A,13
二名３～７丁目,E,13
二名東町,A,13
二名平野１・２丁目,A,18
納院町,D,7
登大路町（下記を除く地域）,G,7
登大路町（市道北部91号線に面した地域）,D,7
橋本町,G,7
畑中町,B,5
八条１～３・５丁目,D,14
八条４丁目（国道２４号線の東側）,D,14
八条４丁目（国道２４号線の西側）,C,14
八条町（国道２４号線の東側）,D,14
八条町（国道２４号線の西側）,C,14
花芝町,G,5
花園町,D,19
馬場町,G,7
林小路町,G,7
半田突抜町,D,1
半田開町,D,5
半田横町,D,1
般若寺町,D,1
東包永町,D,1
東木辻町,D,19
東紀寺町１～３丁目,D,19
東笹鉾町,D,1
東城戸町,G,7
東寺林町,G,7
東登美ヶ丘１～３丁目,A,11
東登美ヶ丘４～６丁目,A,18
######################鉢伏町,,2
東之阪,D,1
東向北町,G,5
東向中町,G,7
東向南町,G,7
疋田町,B,17
疋田町１～５丁目,B,17
毘沙門町,D,7
白毫寺町,D,2
百万ヶ辻子町,G,7
百楽園１～５丁目,A,15
平松１～５丁目,C,17
福智院町,D,7
不審ヶ辻子町,G,7
藤ノ木台１～４丁目,G,4
藤原町（県道高畑山船の東側）,G,2
藤原町（県道高畑山船の西側）,H,2
船橋町,B,5
古市町（県道高畑山船の東側）,G,2
古市町（県道高畑山船の西側）,H,2
坊屋敷町,G,5
宝来１～５丁目,C,17
宝来町,B,17
法蓮佐保山１・２丁目,B,5
法蓮佐保山３・４丁目（奈良加茂線の東側）,D,5
法蓮佐保山３・４丁目（奈良加茂線の西側）,B,5
法蓮町（やすらぎの道・奈良加茂線の東側）,D,5
法蓮町（やすらぎの道・奈良加茂線の西側）,B,5
法華寺町,B,5
本子守町,G,7
大豆山町,G,5
大豆山突抜町,G,5
丸山１・２丁目,F,4
######################菩提仙町,,2
#####################米谷町,,2
山陵町（近鉄京都線の東側）,B,11
山陵町（近鉄京都線の西側）,A,11
三碓１～４・７丁目,C,6
三碓５丁目,E,6
三碓６丁目,F,6
三碓町（阪奈道路の南側）,F,13
三碓町（阪奈道路の北側）,E,13
三棟町,D,19
南魚屋町（ならまち大通りの南側）,D,19
南魚屋町（ならまち大通りの北側）,G,19
南肘塚町,D,7
南紀寺町１～５丁目 ,D,19
南京終町,D,19
南京終町１～７丁目,D,19
南城戸町,D,19
南新町（ミナミシンチョウ）,C,7
南新町（ミナミシンマチ）,D,19
南登美ヶ丘,A,10
南永井町（下記を除く地域）,H,16
