A,奈良市収集課,月 木,隔水20160413,火
B,奈良市収集課,月 木,隔水20160413,金
C,奈良市収集課,火 金,隔水20160406,月
D,奈良市収集課,火 金,隔水20160406,木
E,奈良市清美公社,月 木,隔水20160413,金
F,奈良市清美公社,月 木,隔水20160413,火
G,奈良市清美公社,火 金,隔水20160406,木
H,奈良市清美公社,火 金,隔水20160406,月
X,奈良市清美公社,公社,公社,公社
Z,奈良市清美公社,公社,公社,公社
