地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,再生資源ゴミ
石木町（富小川の東側）,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
石木町（富小川の西側）,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
井上町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
今市町,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
今小路町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
今在家町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
今辻子町,奈良市清美公社,火 金,隔水20160406,木,20160615 20160713 20160810 20160907 20991231
今御門町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
陰陽町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
右京３～５丁目,奈良市収集課,月 木,隔水20160413,火,20160629 20160727 20160824 20160921 20991231
歌姫町,奈良市収集課,月 木,隔水20160413,金,20160613 20160711 20160808 20160905 20991231
大渕町,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
大宮町１丁目（大宮通り南側）,奈良市収集課,火 金,隔水20160406,月,20160615 20160713 20160810 20160907 20991231
大宮町１丁目（大宮通り北側）,奈良市収集課,月 木,隔水20160413,金,20160615 20160713 20160810 20160907 20991231
大宮町２～４丁目,奈良市収集課,火 金,隔水20160406,月,20160615 20160713 20160810 20160907 20991231
大宮町５・６丁目,奈良市収集課,月 木,隔水20160413,金,20160615 20160713 20160810 20160907 20991231
大宮町１丁目（大宮通り南側）,奈良市収集課,火 金,隔水20160406,月,20160615 20160713 20160810 20160907 20991231
大宮町１丁目（大宮通り北側）,奈良市収集課,月 木,隔水20160413,金,20160615 20160713 20160810 20160907 20991231
大森町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
大森西町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
大倭町,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
大和田町,奈良市清美公社,月 木,隔水20160413,火,20160630 20160728 20160825 20160922 20991231
小川町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
奥子守町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
奥芝町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
押上町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
押熊町,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
押小路町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
肘塚町（下記以外）,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
肘塚町（ＪＲ桜井線東側＆岩井川南側）,奈良市清美公社,火 金,隔水20160406,月,20160705 20160802 20160830 20160927 20991231
学園赤松町,奈良市収集課,月 木,隔水20160413,火,20160616 20160714 20160811 20160908 20991231
学園朝日町,奈良市収集課,月 木,隔水20160413,火,20160620 20160718 20160815 20160912 20991231
学園朝日元町１・２丁目,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
学園北１・２丁目,奈良市収集課,月 木,隔水20160413,火,20160620 20160718 20160815 20160912 20991231
学園新田町,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
学園大和町１～６丁目,奈良市収集課,火 金,隔水20160406,月,20160620 20160718 20160815 20160912 20991231
学園中１～５丁目,奈良市収集課,火 金,隔水20160406,月,20160704 20160801 20160829 20160926 20991231
学園緑ヶ丘町１～３丁目,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
学園南１・２丁目,奈良市収集課,月 木,隔水20160413,金,20160620 20160718 20160815 20160912 20991231
学園南３丁目,奈良市収集課,火 金,隔水20160406,月,20160620 20160718 20160815 20160912 20991231
鵲町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
柏木町,奈良市収集課,火 金,隔水20160406,月,20160617 20160715 20160812 20160909 20991231
春日野町,奈良市清美公社,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
上三条町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
杏町（国道２４号線の東側）,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
杏町（国道２４号線の西側）,奈良市収集課,火 金,隔水20160406,月,20160617 20160715 20160812 20160909 20991231
川上町（下記を除く地域）,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
川上町（飯森町・長尾町）,奈良市清美公社,公社,公社,公社,20160627 20160725 20160822 20160919 20991231
川久保町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
川之上町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
川之上突抜町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
瓦堂町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
元興寺町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
漢国町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
元林院町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
北市町,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
北魚屋東町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
北川端町,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
北京終町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
北小路町（やすらぎの道の東側）,奈良市清美公社,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
北小路町（やすらぎの道の東側）,奈良市収集課,月 木,隔水20160413,金,20160701 20160729 20160826 20160923 20991231
北新町,奈良市収集課,月 木,隔水20160413,金,20160705 20160802 20160830 20160927 20991231
北登美ヶ丘１～６丁目,奈良市収集課,月 木,隔水20160413,火,20160613 20160711 20160808 20160905 20991231
北永井町（JR桜井線の東側),奈良市清美公社,火 金,隔水20160406,月,20160705 20160802 20160830 20160927 20991231
北永井町（JR桜井線の西側),奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
北之庄町（下記を除く地域）,奈良市収集課,火 金,隔水20160406,木,20160621 20160719 20160816 20160913 20991231
北之庄町（木津横田線東側＆北之庄八島線北側）,奈良市清美公社,火 金,隔水20160406,月,20160621 20160719 20160816 20160913 20991231
北之庄西町１・２丁目,奈良市収集課,火 金,隔水20160406,木,20160621 20160719 20160816 20160913 20991231
北半田中町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
北半田西町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
北半田東町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
北袋町,奈良市収集課,火 金,隔水20160406,木,20160701 20160729 20160826 20160923 20991231
北風呂町（ならまち大通り南側）,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
北風呂町（ならまち大通り北側）,奈良市清美公社,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
北御門町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
北向町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
北室町（ならまち大通り南側）,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
北室町（ならまち大通り北側）,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
紀寺町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
京終地方西側町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
京終地方東側町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
公納堂町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
窪之庄町（天理街道の東側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
窪之庄町（天理街道の西側）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
恋の窪１～３丁目,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
恋の窪東町,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
興善院町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
光明院町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
五条町,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
五条西町１・２丁目,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
五条１～３丁目,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
五条畑１・２丁目,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
小太郎町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
後藤町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
神殿町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
小西町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
西九条町１～４丁目,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
西九条町５丁目,奈良市収集課,火 金,隔水20160406,月,20160617 20160715 20160812 20160909 20991231
西九条町,奈良市収集課,火 金,隔水20160406,木,20160617 20160715 20160812 20160909 20991231
西大寺赤田町１・２丁目,奈良市収集課,月 木,隔水20160413,火,20160706 20160803 20160831 20160928 20991231
西大寺北町１～４丁目,奈良市収集課,月 木,隔水20160413,火,20160706 20160803 20160831 20160928 20991231
西大寺国見町１・２丁目,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
西大寺小坊町,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
西大寺栄町,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
